الشهر|رقم_الدعوي|الموضوع|تصنيفات_الأحكام|منطوق_الحكم|العضو
يونيو 2025|2963 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بالأحقية / الإلــــغا|بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
يوليو 2025|2800 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بالأحقية / الإلــــغا|بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
يوليو 2025|2875 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بالأحقية / الإلــــغا|بقبول الدعوي شكلًا ، وبالأحقـــية.| مصطفى أحمد عبد الفتاح يوسف على
إبريل 2025|1998 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وأمرت بإحالتها بحالتها إلى محكمة القضاء الإداري بمحافظة كفر الشيخ ـ الدائرة السابعة والسبعون| مصطفى أحمد عبد الفتاح يوسف على
إبريل 2025|1999 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وأمرت بإحالتها بحالتها إلى محكمة القضاء الإداري بمحافظة كفر الشيخ ـ الدائرة السابعة والسبعون| مصطفى أحمد عبد الفتاح يوسف على
إبريل 2025|2002 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وأمرت بإحالتها بحالتها إلى محكمة القضاء الإداري بمحافظة كفر الشيخ ـ الدائرة السابعة والسبعون| مصطفى أحمد عبد الفتاح يوسف على
إبريل 2025|2003 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وأمرت بإحالتها بحالتها إلى محكمة القضاء الإداري بمحافظة كفر الشيخ ـ الدائرة السابعة والسبعون| مصطفى أحمد عبد الفتاح يوسف على
مارس 2025|1925 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وأمرت بإحالتها بحالتها إلى محكمة القضاء الإداري بمحافظة كفر الشيخ ـ الدائرة السابعة والسبعون| مصطفى أحمد عبد الفتاح يوسف على
يونيو 2025|2420 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وأمرت بإحالتها بحالتها إلى محكمة القضاء الإداري بمحافظة كفر الشيخ ـ الدائرة السابعة والسبعون| مصطفى أحمد عبد الفتاح يوسف على
يونيو 2025|2452 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وأمرت بإحالتها بحالتها إلى محكمة القضاء الإداري بمحافظة كفر الشيخ ـ الدائرة السابعة والسبعون| مصطفى أحمد عبد الفتاح يوسف على
